lessonId,route,title,catalog,mainTopic,subtopic,conceptId,existingType,newPrimaryType,interactionFormats,engine,currentAdapter,currentPresetSpecificity,targetPresetSpecificity,contentQuality,mathematicalReview,priority,applicabilityOfLearn,applicabilityOfExplore,applicabilityOfPractice,applicabilityOfChallenge,applicabilityOfInvestigation,applicabilityOfVisualProof,applicabilityOfAssessment,applicabilityOfRevision,notes
363,/lessons/advanced-mathematics/363-gramschmidt,Gram–Schmidt,core,Advanced Mathematics,Matrices and Linear Algebra,advanced-mathematics.matrices-and-linear-algebra.gram-schmidt,Linear Algebra Lab,learn,construction|3d|animation,geometry-3d,matrix,lesson,lesson-preset,lesson-specific,needs-review,P1,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Read the core idea for Gram–Schmidt. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
364,/lessons/advanced-mathematics/364-least-squares,Least Squares,core,Advanced Mathematics,Matrices and Linear Algebra,advanced-mathematics.matrices-and-linear-algebra.least-squares,Linear Algebra Lab,learn,construction|3d|animation,geometry-3d,matrix,lesson,lesson-preset,lesson-specific,needs-review,P1,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Read the core idea for Least Squares. Inspect the visual or symbolic model. Answer the quick check. Choose the next resource.
365,/lessons/advanced-mathematics/365-complex-plane,Complex Plane,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.complex-plane,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
366,/lessons/advanced-mathematics/366-real-and-imaginary-parts,Real and Imaginary Parts,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.real-and-imaginary-parts,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
367,/lessons/advanced-mathematics/367-complex-addition,Complex Addition,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.complex-addition,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
368,/lessons/advanced-mathematics/368-complex-multiplication,Complex Multiplication,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.complex-multiplication,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
369,/lessons/advanced-mathematics/369-complex-conjugate,Complex Conjugate,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.complex-conjugate,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
370,/lessons/advanced-mathematics/370-modulus-and-argument,Modulus and Argument,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.modulus-and-argument,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
371,/lessons/advanced-mathematics/371-polar-form,Polar Form,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.polar-form,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
372,/lessons/advanced-mathematics/372-euler-form,Euler Form,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.euler-form,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
373,/lessons/advanced-mathematics/373-powers,Powers,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.powers,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
374,/lessons/advanced-mathematics/374-roots,Roots,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.roots,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
375,/lessons/advanced-mathematics/375-polynomial-roots,Polynomial Roots,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.polynomial-roots,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
376,/lessons/advanced-mathematics/376-mobius-transformations,Möbius Transformations,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.m-bius-transformations,Advanced Lab,explore,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,available,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
377,/lessons/advanced-mathematics/377-complex-functions,Complex Functions,core,Advanced Mathematics,Complex Numbers,advanced-mathematics.complex-numbers.complex-functions,Advanced Lab,learn,construction|3d|slider,geometry-3d,complex,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
378,/lessons/3d-mathematics/378-3d-coordinate-system,3D Coordinate System,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.3d-coordinate-system,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
379,/lessons/3d-mathematics/379-3d-points,3D Points,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.3d-points,3D Lab,learn,construction|3d|slider|drag-and-observe,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
380,/lessons/3d-mathematics/380-distance-in-3d,Distance in 3D,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.distance-in-3d,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
381,/lessons/3d-mathematics/381-lines-in-3d,Lines in 3D,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.lines-in-3d,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
382,/lessons/3d-mathematics/382-planes,Planes,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.planes,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
383,/lessons/3d-mathematics/383-parallel-and-perpendicular-planes,Parallel and Perpendicular Planes,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.parallel-and-perpendicular-planes,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
384,/lessons/3d-mathematics/384-lineplane-intersection,Line–Plane Intersection,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.line-plane-intersection,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
385,/lessons/3d-mathematics/385-planeplane-intersection,Plane–Plane Intersection,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.plane-plane-intersection,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
386,/lessons/3d-mathematics/386-angle-between-lines,Angle Between Lines,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.angle-between-lines,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
387,/lessons/3d-mathematics/387-angle-between-planes,Angle Between Planes,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.angle-between-planes,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
388,/lessons/3d-mathematics/388-angle-between-line-and-plane,Angle Between Line and Plane,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.angle-between-line-and-plane,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
389,/lessons/3d-mathematics/389-point-to-plane-distance,Point-to-Plane Distance,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.point-to-plane-distance,3D Lab,learn,construction|3d|slider|drag-and-observe,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
390,/lessons/3d-mathematics/390-3d-vectors,3D Vectors,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.3d-vectors,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
391,/lessons/3d-mathematics/391-cube,Cube,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.cube,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
392,/lessons/3d-mathematics/392-cuboid,Cuboid,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.cuboid,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
393,/lessons/3d-mathematics/393-prism,Prism,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.prism,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
394,/lessons/3d-mathematics/394-pyramid,Pyramid,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.pyramid,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
395,/lessons/3d-mathematics/395-tetrahedron,Tetrahedron,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.tetrahedron,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
396,/lessons/3d-mathematics/396-regular-polyhedra,Regular Polyhedra,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.regular-polyhedra,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
397,/lessons/3d-mathematics/397-cylinder,Cylinder,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.cylinder,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
398,/lessons/3d-mathematics/398-cone,Cone,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.cone,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
399,/lessons/3d-mathematics/399-sphere,Sphere,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.sphere,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
400,/lessons/3d-mathematics/400-hemisphere,Hemisphere,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.hemisphere,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
401,/lessons/3d-mathematics/401-frustum,Frustum,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.frustum,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
402,/lessons/3d-mathematics/402-surface-of-revolution,Surface of Revolution,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.surface-of-revolution,3D Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
403,/lessons/3d-mathematics/403-extrusion,Extrusion,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.extrusion,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
404,/lessons/3d-mathematics/404-nets-of-solids,Nets of Solids,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.nets-of-solids,3D Lab,learn,construction|3d|slider|animation,geometry-3d,geometry3d,lesson,lesson-preset,lesson-specific,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
405,/lessons/3d-mathematics/405-cross-sections,Cross-Sections,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.cross-sections,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
406,/lessons/3d-mathematics/406-volume,Volume,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.volume,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
407,/lessons/3d-mathematics/407-surface-area,Surface Area,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.surface-area,3D Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
408,/lessons/3d-mathematics/408-euler-s-polyhedron-formula,Euler's Polyhedron Formula,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.euler-s-polyhedron-formula,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
409,/lessons/3d-mathematics/409-transparent-x-ray-mode,Transparent / X-Ray Mode,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.transparent-x-ray-mode,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
410,/lessons/3d-mathematics/410-camera-controls,Camera Controls,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.camera-controls,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
411,/lessons/3d-mathematics/411-orthographic-views,Orthographic Views,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.orthographic-views,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
412,/lessons/3d-mathematics/412-ar-placement,AR Placement,core,3D Mathematics,3D Geometry and Solids,3d-mathematics.3d-geometry-and-solids.ar-placement,3D Lab,learn,construction|3d|slider,geometry-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
413,/lessons/3d-mathematics/413-surface-z-f-x-y,"Surface z=f(x,y)",core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.surface-z-f-x-y,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
414,/lessons/3d-mathematics/414-implicit-surfaces,Implicit Surfaces,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.implicit-surfaces,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
415,/lessons/3d-mathematics/415-parametric-surfaces,Parametric Surfaces,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.parametric-surfaces,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
416,/lessons/3d-mathematics/416-space-curves,Space Curves,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.space-curves,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
417,/lessons/3d-mathematics/417-quadric-surfaces,Quadric Surfaces,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.quadric-surfaces,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
418,/lessons/3d-mathematics/418-cylindrical-coordinates,Cylindrical Coordinates,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.cylindrical-coordinates,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
419,/lessons/3d-mathematics/419-spherical-coordinates,Spherical Coordinates,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.spherical-coordinates,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
420,/lessons/3d-mathematics/420-contour-curves,Contour Curves,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.contour-curves,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
421,/lessons/3d-mathematics/421-level-surfaces,Level Surfaces,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.level-surfaces,3D Analysis Lab,challenge,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,applicable-missing,applicable-missing,applicable-missing,available,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
422,/lessons/3d-mathematics/422-partial-derivatives,Partial Derivatives,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.partial-derivatives,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
423,/lessons/3d-mathematics/423-gradient-vector,Gradient Vector,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.gradient-vector,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
424,/lessons/3d-mathematics/424-tangent-plane,Tangent Plane,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.tangent-plane,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,applicable-missing,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
425,/lessons/3d-mathematics/425-normal-vector,Normal Vector,core,3D Mathematics,3D Functions and Surfaces,3d-mathematics.3d-functions-and-surfaces.normal-vector,3D Analysis Lab,learn,graphing|3d|slider,graph-3d,geometry3d,family,lesson-preset,generated-template,needs-review,P0,available,applicable-missing,applicable-missing,applicable-missing,applicable-missing,not-applicable,applicable-missing,applicable-missing,Predict what will change. Drag or adjust one control. Observe the exact output. Explain the relationship.
